,broadcast,exp_min,m_code,p_code,p_name,p_group,unit_price,total_price,sales,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,YEAR_DAY,DAY_NAME,DAY_NUM,p_group_code,new_code,no,sales_level,grade,season,timeslot,holiday,sales_group,52_week,brand_name,brand_power,mask_ratio,parcel_ratio
10,2019-01-01 14:00:00,60.0,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,119000,119930000.0,1008.0,2019,1,1,14,0,0,2019-01-01,Tuesday,2,0,14.0,25,c,3,4,3,1,2.0,1,그렉노먼,21.052241771740306,0.04095,0.52582
11,2019-01-01 15:00:00,60.0,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,86177000.0,1415.0,2019,1,1,15,0,0,2019-01-01,Tuesday,2,3,3.0,29,c,3,4,4,1,1.0,1,뽕셰프,22.275,0.04095,0.52582
12,2019-01-01 16:00:00,40.0,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,176244000.0,3532.0,2019,1,1,16,0,0,2019-01-01,Tuesday,2,3,1.0,32,e,3,4,4,1,4.0,1,국내산,55.55291405002472,0.04095,0.52582
13,2019-01-01 16:40:00,20.0,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,83893000.0,1375.0,2019,1,1,16,40,0,2019-01-01,Tuesday,2,3,4.0,34,c,3,4,4,1,1.0,1,멋진밥상,39.74810606060606,0.04095,0.52582
14,2019-01-01 17:00:00,60.0,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,222836000.0,5599.0,2019,1,1,17,0,0,2019-01-01,Tuesday,2,4,19.0,35,e,2,4,4,1,5.0,1,비버리힐스폴로클럽,58.16717749439002,0.04095,0.52582
15,2019-01-01 18:00:00,60.0,100435,201350,우리바다 손질왕꼬막 24팩,농수축,39900,246455000.0,6177.0,2019,1,1,18,0,0,2019-01-01,Tuesday,2,3,2.0,38,e,2,4,5,1,5.0,1,우리바다,79.76060606060607,0.04095,0.52582
16,2019-01-01 19:00:00,60.0,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000,190579000.0,1602.0,2019,1,1,19,0,0,2019-01-01,Tuesday,2,1,8.0,41,c,1,4,5,1,4.0,1,푸마,22.664790262889515,0.04095,0.52582
17,2019-01-01 20:00:00,60.0,100150,200533,일시불 LG 통돌이 세탁기,가전,439000,284574000.0,620.0,2019,1,1,20,0,0,2019-01-01,Tuesday,2,5,0.0,44,b,1,4,5,1,5.0,1,LG,3.102464494569758,0.04095,0.52582
18,2019-01-01 21:00:00,60.0,100049,202044,마리노블 밍크 롱코트,의류,499000,154715000.0,310.0,2019,1,1,21,0,0,2019-01-01,Tuesday,2,0,11.0,50,a,3,4,6,1,1.0,1,마리노블,4.820870278304547,0.04095,0.52582
19,2019-01-01 22:00:00,60.0,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,115831000.0,387.0,2019,1,1,22,0,0,2019-01-01,Tuesday,2,0,12.0,53,a,3,4,6,1,1.0,1,헤스티지,9.727497065816005,0.04095,0.52582
20,2019-01-01 23:00:00,60.0,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,122537000.0,1364.0,2019,1,1,23,0,0,2019-01-01,Tuesday,2,1,10.0,55,c,2,4,6,1,3.0,1,로베르타,18.458118204458486,0.04095,0.52582
21,2019-01-02 00:00:00,40.0,100346,201072,테이트 남성 셀린니트3종,의류,39900,52380000.0,1313.0,2019,1,2,24,0,0,2019-01-02,Wednesday,3,0,36.0,164,c,4,4,7,0,3.0,1,테이트,16.386845283847588,0.05402,1.31756
22,2019-01-02 01:00:00,57.1,100613,201894,푸마 웜셀 기모 치마레깅스 3종,속옷,59000,55443000.0,939.0,2019,1,2,25,0,0,2019-01-02,Wednesday,3,1,33.0,168,b,3,4,7,0,2.0,1,푸마,22.664790262889515,0.05402,1.31756
23,2019-01-02 06:00:00,60.0,100229,200800,벨라홈 논슬립 옷걸이 세트,생활용품,29800,35241000.0,1182.0,2019,1,2,6,0,0,2019-01-02,Wednesday,3,6,29.0,67,c,4,4,1,0,4.0,1,벨라홈,27.56438695215635,0.05402,1.31756
24,2019-01-02 07:00:00,60.0,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,70951000.0,1029.0,2019,1,2,7,0,0,2019-01-02,Wednesday,3,7,23.0,70,c,4,4,1,0,3.0,1,종근당건강,26.081086149345534,0.05402,1.31756
25,2019-01-02 08:00:00,60.0,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,67533000.0,1145.0,2019,1,2,8,0,0,2019-01-02,Wednesday,3,1,31.0,73,c,4,4,1,0,3.0,1,오모떼,18.293730470048533,0.05402,1.31756
26,2019-01-02 09:00:00,60.0,100454,201409,NNF 쿠션퍼자켓+베스트,의류,39900,74098000.0,1857.0,2019,1,2,9,0,0,2019-01-02,Wednesday,3,0,37.0,76,d,4,4,2,0,4.0,1,NNF,44.42115691869754,0.05402,1.31756
27,2019-01-02 10:00:00,60.0,100448,202098,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,148000,154577000.0,974.0,2019,1,2,10,0,0,2019-01-02,Wednesday,3,2,39.0,79,b,2,4,2,0,3.0,1,쿠첸,13.96813730358952,0.05402,1.31756
28,2019-01-02 11:00:00,60.0,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,96155000.0,322.0,2019,1,2,11,0,0,2019-01-02,Wednesday,3,0,35.0,91,a,3,4,2,0,1.0,1,헤스티지,9.727497065816005,0.05402,1.31756
29,2019-01-02 12:00:00,60.0,100765,202230,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,208000,124863000.0,547.0,2019,1,2,12,0,0,2019-01-02,Wednesday,3,2,40.0,93,b,2,4,3,0,1.0,1,린나이,7.447747747747748,0.05402,1.31756
30,2019-01-02 13:00:00,60.0,100844,202491,하늘내린 용대리황태10미,농수축,32900,112947000.0,3434.0,2019,1,2,13,0,0,2019-01-02,Wednesday,3,3,28.0,105,e,4,4,3,0,4.0,1,하늘내린,56.52939991945227,0.05402,1.31756
31,2019-01-02 14:00:00,60.0,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,85256000.0,782.0,2019,1,2,14,0,0,2019-01-02,Wednesday,3,1,30.0,108,b,3,4,3,0,1.0,1,오모떼,18.293730470048533,0.05402,1.31756
32,2019-01-02 15:00:00,60.0,100253,200864,안동간고등어 20팩,농수축,30900,155211000.0,5023.0,2019,1,2,15,0,0,2019-01-02,Wednesday,3,3,24.0,110,e,3,4,4,0,5.0,1,안동간고등어,73.23349056603773,0.05402,1.31756
33,2019-01-02 16:00:00,60.0,100722,202113,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,30900,75464000.0,2443.0,2019,1,2,16,0,0,2019-01-02,Wednesday,3,3,26.0,113,d,4,4,4,0,2.0,1,SPC삼립,40.71666666666667,0.05402,1.31756
34,2019-01-02 17:00:00,60.0,100801,202365,바다먹자 국내산 손질꽃게 7팩,농수축,59900,130196000.0,2174.0,2019,1,2,17,0,0,2019-01-02,Wednesday,3,3,27.0,119,d,3,4,4,0,2.0,1,바다먹자,28.444318181818183,0.05402,1.31756
35,2019-01-02 18:00:00,60.0,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,101053000.0,1126.0,2019,1,2,18,0,0,2019-01-02,Wednesday,3,2,38.0,122,c,3,4,5,0,3.0,1,키친플라워,19.3195219123506,0.05402,1.31756
36,2019-01-02 19:00:00,60.0,100491,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,59900,128485000.0,2145.0,2019,1,2,19,0,0,2019-01-02,Wednesday,3,3,25.0,125,d,3,4,5,0,2.0,1,피시원,52.36806868003642,0.05402,1.31756
37,2019-01-02 20:00:00,60.0,100610,201901,푸마 코튼 라이크라 드로즈 12종,속옷,89000,127752000.0,1436.0,2019,1,2,20,0,0,2019-01-02,Wednesday,3,1,32.0,128,c,2,4,5,0,4.0,1,푸마,22.664790262889515,0.05402,1.31756
38,2019-01-02 21:00:00,60.0,100155,200554,일시불 LG전자 매직스페이스 냉장고,가전,1409000,109367000.0,74.0,2019,1,2,21,0,0,2019-01-02,Wednesday,3,5,22.0,137,a,3,4,6,0,1.0,1,LG,3.102464494569758,0.05402,1.31756
39,2019-01-02 22:00:00,60.0,100148,200499,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,151341000.0,78.0,2019,1,2,22,0,0,2019-01-02,Wednesday,3,5,21.0,143,a,3,4,6,0,1.0,1,LG,3.102464494569758,0.05402,1.31756
40,2019-01-02 23:00:00,60.0,100664,202004,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,79900,106570000.0,1335.0,2019,1,2,23,0,0,2019-01-02,Wednesday,3,1,34.0,161,c,3,4,6,0,3.0,1,크로커다일,16.343118069145465,0.05402,1.31756
41,2019-01-03 00:00:00,60.0,100049,202044,마리노블 밍크 롱코트,의류,499000,57383000.0,115.0,2019,1,3,24,0,0,2019-01-03,Thursday,4,0,52.0,260,a,4,4,7,0,1.0,1,마리노블,4.820870278304547,0.05297,1.58614
42,2019-01-03 01:00:00,57.1,100229,200800,벨라홈 논슬립 옷걸이 세트,생활용품,29800,48878000.0,1640.0,2019,1,3,25,0,0,2019-01-03,Thursday,4,6,47.0,263,d,4,4,7,0,5.0,1,벨라홈,27.56438695215635,0.05297,1.58614
43,2019-01-03 06:00:00,60.0,100781,202292,에펨 여성 미들퍼부츠,잡화,39800,29785000.0,685.0,2019,1,3,6,0,0,2019-01-03,Thursday,4,8,58.0,171,b,4,4,1,0,2.0,1,에펨,33.293310463121784,0.05297,1.58614
44,2019-01-03 07:00:00,60.0,100582,201788,천연담아 명품다시팩 100포,농수축,39900,82616000.0,2071.0,2019,1,3,7,0,0,2019-01-03,Thursday,4,3,44.0,177,d,4,4,1,0,2.0,1,천연담아,45.62638888888889,0.05297,1.58614
45,2019-01-03 08:00:00,60.0,100774,202261,엘렌실라 달팽이크림(콜라겐5+팩트3),이미용,79000,76661000.0,970.0,2019,1,3,8,0,0,2019-01-03,Thursday,4,4,56.0,180,b,3,4,1,0,1.0,1,엘렌실라,30.56489215129177,0.05297,1.58614
46,2019-01-03 09:00:00,60.0,100600,201840,로베르타 디 까메리노 노벨라백 2종,잡화,39000,73259000.0,1879.0,2019,1,3,9,0,0,2019-01-03,Thursday,4,8,57.0,183,d,4,4,2,0,4.0,1,로베르타,20.65815931941222,0.05297,1.58614
47,2019-01-03 10:00:00,60.0,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,102903000.0,944.0,2019,1,3,10,0,0,2019-01-03,Thursday,4,1,49.0,186,b,3,4,2,0,2.0,1,오모떼,18.293730470048533,0.05297,1.58614
48,2019-01-03 11:00:00,60.0,100816,202404,보코 리버시블 무스탕,의류,79000,84789000.0,1073.0,2019,1,3,11,0,0,2019-01-03,Thursday,4,0,54.0,188,c,3,4,2,0,2.0,1,보코,24.387285671981683,0.05297,1.58614
49,2019-01-03 12:00:00,60.0,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,88529000.0,1283.0,2019,1,3,12,0,0,2019-01-03,Thursday,4,7,42.0,191,c,3,4,3,0,3.0,1,종근당건강,26.081086149345534,0.05297,1.58614
50,2019-01-03 13:00:00,60.0,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,116724000.0,2933.0,2019,1,3,13,0,0,2019-01-03,Thursday,4,4,55.0,194,e,4,4,3,0,4.0,1,비버리힐스폴로클럽,58.16717749439002,0.05297,1.58614
51,2019-01-03 14:00:00,60.0,100255,200868,한일 대용량 스텐 분쇄믹서기,주방,109800,119902000.0,1093.0,2019,1,3,14,0,0,2019-01-03,Thursday,4,2,59.0,197,c,3,4,3,0,3.0,1,한일,20.63216957605985,0.05297,1.58614
52,2019-01-03 15:00:00,60.0,100837,202455,(도냄)무이자 쿠쿠전기밥솥 10인용,주방,198000,148323000.0,702.0,2019,1,3,15,0,0,2019-01-03,Thursday,4,2,60.0,200,b,2,4,4,0,2.0,1,쿠쿠,12.031490384615385,0.05297,1.58614
53,2019-01-03 16:00:00,60.0,100832,202444,청정수산 완도활전복 35미,농수축,59900,134221000.0,2240.0,2019,1,3,16,0,0,2019-01-03,Thursday,4,3,46.0,212,d,2,4,4,0,2.0,1,청정수산,31.67530309557511,0.05297,1.58614
54,2019-01-03 17:00:00,60.0,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,76649000.0,1258.0,2019,1,3,17,0,0,2019-01-03,Thursday,4,3,43.0,215,c,3,4,4,0,1.0,1,뽕셰프,22.275,0.05297,1.58614
55,2019-01-03 18:00:00,60.0,100702,202074,영산포숙성 홍어8팩+무침3통,농수축,40900,148904000.0,3641.0,2019,1,3,18,0,0,2019-01-03,Thursday,4,3,45.0,218,e,3,4,5,0,4.0,1,영산포숙성,44.617201127062934,0.05297,1.58614
56,2019-01-03 19:00:00,60.0,100610,201860,푸마 INNO 심리스 드로즈 (6차),속옷,89000,95459000.0,1072.0,2019,1,3,19,0,0,2019-01-03,Thursday,4,1,50.0,221,c,3,4,5,0,2.0,1,푸마,22.664790262889515,0.05297,1.58614
57,2019-01-03 20:00:00,60.0,100501,201514,노비타 스마트 비데,생활용품,189000,232596000.0,1230.0,2019,1,3,20,0,0,2019-01-03,Thursday,4,6,48.0,230,c,1,4,5,0,4.0,1,노비타,11.70253807106599,0.05297,1.58614
58,2019-01-03 21:00:00,60.0,100148,200499,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,175976000.0,94.0,2019,1,3,21,0,0,2019-01-03,Thursday,4,5,41.0,233,a,2,4,6,0,2.0,1,LG,3.102464494569758,0.05297,1.58614
59,2019-01-03 22:00:00,60.0,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,87262000.0,972.0,2019,1,3,22,0,0,2019-01-03,Thursday,4,1,51.0,251,b,3,4,6,0,2.0,1,로베르타,18.458118204458486,0.05297,1.58614
60,2019-01-03 23:00:00,60.0,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,79662000.0,1139.0,2019,1,3,23,0,0,2019-01-03,Thursday,4,0,53.0,254,c,3,4,6,0,2.0,1,그렉노먼,21.052241771740306,0.05297,1.58614
61,2019-01-04 00:00:00,60.0,100212,200756,스포메틱스 리얼핏 모이스춰라이징 코코넛크림,이미용,49900,58478000.0,1172.0,2019,1,4,24,0,0,2019-01-04,Friday,5,4,76.0,342,c,4,4,7,0,1.0,1,스포메틱스,22.940562659846552,0.04612,1.42527
62,2019-01-04 01:00:00,57.1,100293,200952,일시불[가이거] 제니스시계 주얼리세트,잡화,129000,96729000.0,732.0,2019,1,4,25,0,0,2019-01-04,Friday,5,8,77.0,345,b,3,4,7,0,2.0,1,가이거,7.971904441453567,0.04612,1.42527
63,2019-01-04 06:00:00,60.0,100651,201972,제주농장 유기 양배추진액 120포,건강기능,74900,71174000.0,950.0,2019,1,4,6,0,0,2019-01-04,Friday,5,7,62.0,266,b,3,4,1,0,2.0,1,제주농장,12.9025,0.04612,1.42527
64,2019-01-04 07:00:00,60.0,100226,201019,코이모 리빙박스 8종,생활용품,49800,77711000.0,1560.0,2019,1,4,7,0,0,2019-01-04,Friday,5,6,67.0,269,c,3,4,1,0,5.0,1,코이모,30.619740914822877,0.04612,1.42527
65,2019-01-04 08:00:00,60.0,100717,202101,로베르타 디 까메리노 360커브드 지퍼 쉐이핑 란쥬,속옷,89900,62837000.0,699.0,2019,1,4,8,0,0,2019-01-04,Friday,5,1,72.0,272,b,3,4,1,0,1.0,1,로베르타,18.458118204458486,0.04612,1.42527
66,2019-01-04 09:00:00,60.0,100765,202230,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,208000,91115000.0,398.0,2019,1,4,9,0,0,2019-01-04,Friday,5,2,80.0,275,a,3,4,2,0,1.0,1,린나이,7.447747747747748,0.04612,1.42527
67,2019-01-04 10:00:00,60.0,100837,202455,(도냄)무이자 쿠쿠전기밥솥 10인용,주방,198000,134798000.0,638.0,2019,1,4,10,0,0,2019-01-04,Friday,5,2,81.0,287,b,2,4,2,0,1.0,1,쿠쿠,12.031490384615385,0.04612,1.42527
68,2019-01-04 11:00:00,60.0,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,85009000.0,780.0,2019,1,4,11,0,0,2019-01-04,Friday,5,1,69.0,299,b,3,4,2,0,1.0,1,오모떼,18.293730470048533,0.04612,1.42527
69,2019-01-04 12:00:00,60.0,100253,200864,안동간고등어 20팩,농수축,30900,125512000.0,4063.0,2019,1,4,12,0,0,2019-01-04,Friday,5,3,64.0,301,e,3,4,3,0,4.0,1,안동간고등어,73.23349056603773,0.04612,1.42527
70,2019-01-04 13:00:00,60.0,100255,200868,한일 대용량 스텐 분쇄믹서기,주방,109800,92222000.0,840.0,2019,1,4,13,0,0,2019-01-04,Friday,5,2,79.0,304,b,3,4,3,0,2.0,1,한일,20.63216957605985,0.04612,1.42527
71,2019-01-04 14:00:00,60.0,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,87263000.0,1479.0,2019,1,4,14,0,0,2019-01-04,Friday,5,1,70.0,307,c,3,4,3,0,4.0,1,오모떼,18.293730470048533,0.04612,1.42527
72,2019-01-04 15:00:00,60.0,100199,200670,소들녘 소 갈비탕,농수축,50900,122899000.0,2415.0,2019,1,4,15,0,0,2019-01-04,Friday,5,3,63.0,310,d,3,4,4,0,2.0,1,소들녘,38.35180722891566,0.04612,1.42527
73,2019-01-04 16:00:00,60.0,100844,202491,하늘내린 용대리황태10미,농수축,32900,115409000.0,3507.0,2019,1,4,16,0,0,2019-01-04,Friday,5,3,66.0,313,e,4,4,4,0,4.0,1,하늘내린,56.52939991945227,0.04612,1.42527
74,2019-01-04 17:00:00,60.0,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,111035000.0,1236.0,2019,1,4,17,0,0,2019-01-04,Friday,5,2,78.0,316,c,3,4,4,0,4.0,1,키친플라워,19.3195219123506,0.04612,1.42527
75,2019-01-04 18:00:00,60.0,100491,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,59900,140992000.0,2353.0,2019,1,4,18,0,0,2019-01-04,Friday,5,3,65.0,319,d,2,4,5,0,2.0,1,피시원,52.36806868003642,0.04612,1.42527
76,2019-01-04 19:00:00,60.0,100150,200533,일시불 LG 통돌이 세탁기,가전,439000,169232000.0,365.0,2019,1,4,19,0,0,2019-01-04,Friday,5,5,61.0,322,a,2,4,5,0,5.0,1,LG,3.102464494569758,0.04612,1.42527
77,2019-01-04 20:00:00,60.0,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,161417000.0,4056.0,2019,1,4,20,0,0,2019-01-04,Friday,5,4,75.0,328,e,3,4,5,0,5.0,1,비버리힐스폴로클럽,58.16717749439002,0.04612,1.42527
78,2019-01-04 21:00:00,60.0,100664,202004,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,79900,112617000.0,1409.0,2019,1,4,21,0,0,2019-01-04,Friday,5,1,71.0,331,c,3,4,6,0,3.0,1,크로커다일,16.343118069145465,0.04612,1.42527
79,2019-01-04 22:00:00,60.0,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,102146000.0,1462.0,2019,1,4,22,0,0,2019-01-04,Friday,5,0,74.0,334,c,3,4,6,0,3.0,1,그렉노먼,21.052241771740306,0.04612,1.42527
80,2019-01-04 23:00:00,60.0,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,79745000.0,267.0,2019,1,4,23,0,0,2019-01-04,Friday,5,0,73.0,340,a,3,4,6,0,1.0,1,헤스티지,9.727497065816005,0.04612,1.42527
81,2019-01-05 00:00:00,60.0,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,132733000.0,3335.0,2019,1,5,24,0,0,2019-01-05,Saturday,6,4,97.0,441,e,3,4,7,1,4.0,1,비버리힐스폴로클럽,58.16717749439002,0.04428,0.78572
82,2019-01-05 01:00:00,57.1,100430,201343,(a4)팽현숙의 순대 곱창 전골&볶음,농수축,43900,55476000.0,1264.0,2019,1,5,25,0,0,2019-01-05,Saturday,6,3,84.0,444,c,4,4,7,1,1.0,1,팽현숙의,22.13660245183888,0.04428,0.78572
83,2019-01-05 06:00:00,60.0,100267,200883,스칼프솔루션 트리트먼트 패키지,이미용,50900,35108000.0,690.0,2019,1,5,6,0,0,2019-01-05,Saturday,6,4,98.0,351,b,4,4,1,1,1.0,1,스칼프솔루션,10.733333333333333,0.04428,0.78572
84,2019-01-05 07:00:00,60.0,100222,200773,아문센 남성 윈터 하드쉘 세트,의류,79000,49427000.0,625.0,2019,1,5,7,0,0,2019-01-05,Saturday,6,0,92.0,354,b,4,4,1,1,2.0,1,아문센,10.416666666666666,0.04428,0.78572
85,2019-01-05 08:00:00,60.0,100761,202216,마담팰리스 웜기모 롱베스트 3종세트,의류,39900,118333000.0,2965.0,2019,1,5,8,0,0,2019-01-05,Saturday,6,0,94.0,360,e,4,4,1,1,5.0,1,마담팰리스,28.894444444444446,0.04428,0.78572
86,2019-01-05 09:00:00,60.0,100305,200988,오모떼 프런트후크 데오브라 시즌2,속옷,59000,131746000.0,2233.0,2019,1,5,9,0,0,2019-01-05,Saturday,6,1,89.0,363,d,2,4,2,1,5.0,1,오모떼,18.293730470048533,0.04428,0.78572
87,2019-01-05 10:00:00,60.0,100816,202404,보코 리버시블 무스탕,의류,79000,81471000.0,1031.0,2019,1,5,10,0,0,2019-01-05,Saturday,6,0,96.0,365,c,3,4,2,1,2.0,1,보코,24.387285671981683,0.04428,0.78572
88,2019-01-05 11:00:00,60.0,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,153801000.0,2568.0,2019,1,5,11,0,0,2019-01-05,Saturday,6,0,95.0,368,e,3,4,2,1,5.0,1,CERINI,29.312361698369987,0.04428,0.78572
89,2019-01-05 12:00:00,60.0,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,155117000.0,1727.0,2019,1,5,12,0,0,2019-01-05,Saturday,6,2,100.0,371,d,2,4,3,1,5.0,1,키친플라워,19.3195219123506,0.04428,0.78572
90,2019-01-05 13:00:00,60.0,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,173551000.0,2849.0,2019,1,5,13,0,0,2019-01-05,Saturday,6,2,99.0,374,e,3,4,3,1,5.0,1,에코라믹,32.97268041237113,0.04428,0.78572
91,2019-01-05 14:00:00,60.0,100150,200533,일시불 LG 통돌이 세탁기,가전,439000,144796000.0,312.0,2019,1,5,14,0,0,2019-01-05,Saturday,6,5,83.0,377,a,3,4,3,1,5.0,1,LG,3.102464494569758,0.04428,0.78572
92,2019-01-05 15:00:00,60.0,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,94162000.0,864.0,2019,1,5,15,0,0,2019-01-05,Saturday,6,1,88.0,383,b,3,4,4,1,2.0,1,오모떼,18.293730470048533,0.04428,0.78572
93,2019-01-05 16:00:00,60.0,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,178901000.0,2933.0,2019,1,5,16,0,0,2019-01-05,Saturday,6,3,87.0,385,e,2,4,4,1,3.0,1,멋진밥상,39.74810606060606,0.04428,0.78572
94,2019-01-05 17:00:00,60.0,100435,201350,우리바다 손질왕꼬막 24팩,농수축,39900,233851000.0,5861.0,2019,1,5,17,0,0,2019-01-05,Saturday,6,3,85.0,388,e,2,4,4,1,5.0,1,우리바다,79.76060606060607,0.04428,0.78572
95,2019-01-05 18:20:00,40.0,100801,202365,바다먹자 국내산 손질꽃게 7팩,농수축,59900,76992000.0,1286.0,2019,1,5,18,20,0,2019-01-05,Saturday,6,3,86.0,391,c,3,4,5,1,1.0,1,바다먹자,28.444318181818183,0.04428,0.78572
96,2019-01-05 19:00:00,60.0,100448,202098,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,148000,181157000.0,1142.0,2019,1,5,19,0,0,2019-01-05,Saturday,6,2,101.0,393,c,2,4,5,1,4.0,1,쿠첸,13.96813730358952,0.04428,0.78572
97,2019-01-05 20:00:00,60.0,100610,201860,푸마 INNO 심리스 드로즈 (6차),속옷,89000,90011000.0,1012.0,2019,1,5,20,0,0,2019-01-05,Saturday,6,1,91.0,405,c,3,4,5,1,2.0,1,푸마,22.664790262889515,0.04428,0.78572
