,m_code,p_code,p_group,unit_price,sales,YEAR,MONTH,DAY,HOUR,MINUTE,code,mask,parcel,rain,humidity,sunshine,total_price
55,100718,202108,속옷,89900,257,2019,1,1,23,0,18,0.04095,0.52582,0.0,48.0,0.0,23075000
56,100718,202108,속옷,89900,439,2019,1,1,23,20,18,0.04095,0.52582,0.0,48.0,0.0,39452000
57,100718,202108,속옷,89900,668,2019,1,1,23,40,18,0.04095,0.52582,0.0,48.0,0.0,60010000
58,100377,201225,의류,69900,87,2019,1,1,0,0,19,0.04095,0.52582,,,,6082000
59,100377,201231,의류,69900,92,2019,1,1,0,0,19,0.04095,0.52582,,,,6445000
60,100377,201225,의류,69900,171,2019,1,1,0,20,19,0.04095,0.52582,,,,11985000
61,100377,201231,의류,69900,121,2019,1,1,0,20,19,0.04095,0.52582,,,,8491000
62,100377,201225,의류,69900,235,2019,1,1,0,40,19,0.04095,0.52582,,,,16461000
63,100377,201231,의류,69900,152,2019,1,1,0,40,19,0.04095,0.52582,,,,10641000
64,100193,200652,속옷,69900,138,2019,1,1,1,0,20,0.04095,0.52582,,,,9647000
65,100193,200652,속옷,69900,222,2019,1,1,1,20,20,0.04095,0.52582,,,,15516000
66,100193,200652,속옷,69900,267,2019,1,1,1,40,20,0.04095,0.52582,,,,18695000
67,100229,200800,생활용품,29800,322,2019,1,2,6,0,21,0.05402,1.31756,0.0,57.0,0.0,9605000
68,100229,200800,생활용품,29800,378,2019,1,2,6,20,21,0.05402,1.31756,0.0,57.0,0.0,11265000
69,100229,200800,생활용품,29800,482,2019,1,2,6,40,21,0.05402,1.31756,0.0,57.0,0.0,14371000
70,100315,201002,건강기능,69000,217,2019,1,2,7,0,22,0.05402,1.31756,0.0,61.0,0.0,14944000
71,100315,201002,건강기능,69000,375,2019,1,2,7,20,22,0.05402,1.31756,0.0,61.0,0.0,25881000
72,100315,201002,건강기능,69000,437,2019,1,2,7,40,22,0.05402,1.31756,0.0,61.0,0.0,30126000
73,100305,200974,속옷,59000,192,2019,1,2,8,0,23,0.05402,1.31756,0.0,63.0,0.0,11314000
74,100305,200974,속옷,59000,363,2019,1,2,8,20,23,0.05402,1.31756,0.0,63.0,0.0,21397000
75,100305,200974,속옷,59000,590,2019,1,2,8,40,23,0.05402,1.31756,0.0,63.0,0.0,34822000
76,100454,201409,의류,39900,316,2019,1,2,9,0,24,0.05402,1.31756,0.0,51.0,0.6,12607000
77,100454,201409,의류,39900,577,2019,1,2,9,20,24,0.05402,1.31756,0.0,51.0,0.6,23042000
78,100454,201409,의류,39900,964,2019,1,2,9,40,24,0.05402,1.31756,0.0,51.0,0.6,38449000
79,100448,202098,주방,158000,46,2019,1,2,10,0,25,0.05402,1.31756,0.0,40.0,1.0,7239000
80,100448,202093,주방,168000,53,2019,1,2,10,0,25,0.05402,1.31756,0.0,40.0,1.0,8951000
81,100448,202100,주방,148000,14,2019,1,2,10,0,25,0.05402,1.31756,0.0,40.0,1.0,2118000
82,100448,202095,주방,158000,14,2019,1,2,10,0,25,0.05402,1.31756,0.0,40.0,1.0,2262000
83,100448,202098,주방,158000,172,2019,1,2,10,20,25,0.05402,1.31756,0.0,40.0,1.0,27223000
84,100448,202093,주방,168000,78,2019,1,2,10,20,25,0.05402,1.31756,0.0,40.0,1.0,13074000
85,100448,202100,주방,148000,64,2019,1,2,10,20,25,0.05402,1.31756,0.0,40.0,1.0,9408000
86,100448,202095,주방,158000,29,2019,1,2,10,20,25,0.05402,1.31756,0.0,40.0,1.0,4507000
87,100448,202098,주방,158000,282,2019,1,2,10,40,25,0.05402,1.31756,0.0,40.0,1.0,44478000
88,100448,202093,주방,168000,113,2019,1,2,10,40,25,0.05402,1.31756,0.0,40.0,1.0,18925000
89,100448,202100,주방,148000,88,2019,1,2,10,40,25,0.05402,1.31756,0.0,40.0,1.0,13024000
90,100448,202095,주방,158000,21,2019,1,2,10,40,25,0.05402,1.31756,0.0,40.0,1.0,3368000
91,100271,200896,의류,299000,100,2019,1,2,11,0,26,0.05402,1.31756,0.0,33.0,1.0,29763000
92,100271,200896,의류,299000,222,2019,1,2,11,30,26,0.05402,1.31756,0.0,33.0,1.0,66392000
93,100765,202230,주방,238000,42,2019,1,2,12,0,27,0.05402,1.31756,0.0,29.0,1.0,10107000
94,100765,202238,주방,228000,10,2019,1,2,12,0,27,0.05402,1.31756,0.0,29.0,1.0,2270000
95,100765,202229,주방,218000,7,2019,1,2,12,0,27,0.05402,1.31756,0.0,29.0,1.0,1469000
96,100765,202237,주방,208000,13,2019,1,2,12,0,27,0.05402,1.31756,0.0,29.0,1.0,2757000
97,100765,202230,주방,238000,75,2019,1,2,12,20,27,0.05402,1.31756,0.0,29.0,1.0,17801000
98,100765,202238,주방,228000,78,2019,1,2,12,20,27,0.05402,1.31756,0.0,29.0,1.0,17732000
99,100765,202229,주방,218000,49,2019,1,2,12,20,27,0.05402,1.31756,0.0,29.0,1.0,10627000
100,100765,202237,주방,208000,23,2019,1,2,12,20,27,0.05402,1.31756,0.0,29.0,1.0,4731000
101,100765,202230,주방,238000,107,2019,1,2,12,40,27,0.05402,1.31756,0.0,29.0,1.0,25462000
102,100765,202238,주방,228000,94,2019,1,2,12,40,27,0.05402,1.31756,0.0,29.0,1.0,21428000
103,100765,202229,주방,218000,29,2019,1,2,12,40,27,0.05402,1.31756,0.0,29.0,1.0,6384000
104,100765,202237,주방,208000,20,2019,1,2,12,40,27,0.05402,1.31756,0.0,29.0,1.0,4095000
105,100844,202491,농수축,32900,900,2019,1,2,13,0,28,0.05402,1.31756,0.0,26.0,1.0,29599000
106,100844,202491,농수축,32900,1243,2019,1,2,13,20,28,0.05402,1.31756,0.0,26.0,1.0,40882000
107,100844,202491,농수축,32900,1291,2019,1,2,13,40,28,0.05402,1.31756,0.0,26.0,1.0,42466000
108,100305,200970,속옷,109000,261,2019,1,2,14,0,29,0.05402,1.31756,0.0,22.0,1.0,28456000
109,100305,200970,속옷,109000,521,2019,1,2,14,30,29,0.05402,1.31756,0.0,22.0,1.0,56800000
110,100253,200864,농수축,30900,1350,2019,1,2,15,0,30,0.05402,1.31756,0.0,23.0,1.0,41722000
111,100253,200864,농수축,30900,1397,2019,1,2,15,20,30,0.05402,1.31756,0.0,23.0,1.0,43167000
112,100253,200864,농수축,30900,2276,2019,1,2,15,40,30,0.05402,1.31756,0.0,23.0,1.0,70322000
113,100722,202113,농수축,30900,386,2019,1,2,16,0,31,0.05402,1.31756,0.0,22.0,1.0,11931000
114,100722,202112,농수축,30900,217,2019,1,2,16,0,31,0.05402,1.31756,0.0,22.0,1.0,6694000
115,100722,202113,농수축,30900,550,2019,1,2,16,20,31,0.05402,1.31756,0.0,22.0,1.0,16983000
116,100722,202112,농수축,30900,315,2019,1,2,16,20,31,0.05402,1.31756,0.0,22.0,1.0,9744000
117,100722,202113,농수축,30900,613,2019,1,2,16,40,31,0.05402,1.31756,0.0,22.0,1.0,18931000
118,100722,202112,농수축,30900,362,2019,1,2,16,40,31,0.05402,1.31756,0.0,22.0,1.0,11181000
119,100801,202365,농수축,59900,516,2019,1,2,17,0,32,0.05402,1.31756,0.0,32.0,1.0,30903000
120,100801,202365,농수축,59900,836,2019,1,2,17,20,32,0.05402,1.31756,0.0,32.0,1.0,50056000
121,100801,202365,농수축,59900,822,2019,1,2,17,40,32,0.05402,1.31756,0.0,32.0,1.0,49237000
122,100231,200819,주방,89800,250,2019,1,2,18,0,33,0.05402,1.31756,0.0,37.0,0.1,22422000
123,100231,200819,주방,89800,377,2019,1,2,18,20,33,0.05402,1.31756,0.0,37.0,0.1,33817000
124,100231,200819,주방,89800,499,2019,1,2,18,40,33,0.05402,1.31756,0.0,37.0,0.1,44814000
125,100491,201483,농수축,59900,434,2019,1,2,19,0,34,0.05402,1.31756,0.0,39.0,0.0,25985000
126,100491,201483,농수축,59900,612,2019,1,2,19,20,34,0.05402,1.31756,0.0,39.0,0.0,36647000
127,100491,201483,농수축,59900,1099,2019,1,2,19,40,34,0.05402,1.31756,0.0,39.0,0.0,65853000
128,100610,201901,속옷,89000,207,2019,1,2,20,0,35,0.05402,1.31756,0.0,43.0,0.0,18424000
129,100610,201862,속옷,89000,5,2019,1,2,20,0,35,0.05402,1.31756,0.0,43.0,0.0,422000
130,100610,201880,속옷,89000,17,2019,1,2,20,0,35,0.05402,1.31756,0.0,43.0,0.0,1506000
131,100610,201901,속옷,89000,462,2019,1,2,20,20,35,0.05402,1.31756,0.0,43.0,0.0,41096000
132,100610,201862,속옷,89000,29,2019,1,2,20,20,35,0.05402,1.31756,0.0,43.0,0.0,2575000
133,100610,201880,속옷,89000,41,2019,1,2,20,20,35,0.05402,1.31756,0.0,43.0,0.0,3660000
134,100610,201901,속옷,89000,594,2019,1,2,20,40,35,0.05402,1.31756,0.0,43.0,0.0,52885000
135,100610,201862,속옷,89000,34,2019,1,2,20,40,35,0.05402,1.31756,0.0,43.0,0.0,3029000
136,100610,201880,속옷,89000,47,2019,1,2,20,40,35,0.05402,1.31756,0.0,43.0,0.0,4155000
137,100155,200554,가전,1409000,10,2019,1,2,21,0,36,0.05402,1.31756,0.0,44.0,0.0,14485000
138,100155,200487,가전,1549000,8,2019,1,2,21,0,36,0.05402,1.31756,0.0,44.0,0.0,11986000
139,100155,200554,가전,1409000,18,2019,1,2,21,20,36,0.05402,1.31756,0.0,44.0,0.0,25312000
140,100155,200487,가전,1549000,8,2019,1,2,21,20,36,0.05402,1.31756,0.0,44.0,0.0,11960000
141,100155,200554,가전,1409000,15,2019,1,2,21,40,36,0.05402,1.31756,0.0,44.0,0.0,21729000
142,100155,200487,가전,1549000,15,2019,1,2,21,40,36,0.05402,1.31756,0.0,44.0,0.0,23895000
143,100148,200499,가전,1300000,2,2019,1,2,22,0,37,0.05402,1.31756,0.0,47.0,0.0,3177000
144,100148,200508,가전,1900000,7,2019,1,2,22,0,37,0.05402,1.31756,0.0,47.0,0.0,13796000
145,100148,200441,가전,2130000,5,2019,1,2,22,0,37,0.05402,1.31756,0.0,47.0,0.0,10329000
146,100148,200499,가전,1300000,2,2019,1,2,22,20,37,0.05402,1.31756,0.0,47.0,0.0,3177000
147,100148,200432,가전,1440000,2,2019,1,2,22,20,37,0.05402,1.31756,0.0,47.0,0.0,3541000
148,100148,200508,가전,1900000,17,2019,1,2,22,20,37,0.05402,1.31756,0.0,47.0,0.0,32123000
149,100148,200441,가전,2130000,2,2019,1,2,22,20,37,0.05402,1.31756,0.0,47.0,0.0,5189000
150,100148,200499,가전,1300000,5,2019,1,2,22,40,37,0.05402,1.31756,0.0,47.0,0.0,6305000
151,100148,200432,가전,1440000,5,2019,1,2,22,40,37,0.05402,1.31756,0.0,47.0,0.0,6983000
152,100148,200508,가전,1900000,19,2019,1,2,22,40,37,0.05402,1.31756,0.0,47.0,0.0,36730000
153,100148,200441,가전,2130000,7,2019,1,2,22,40,37,0.05402,1.31756,0.0,47.0,0.0,15468000
154,100148,200451,가전,2990000,5,2019,1,2,22,40,37,0.05402,1.31756,0.0,47.0,0.0,14523000
155,100664,202004,속옷,79900,364,2019,1,2,23,0,38,0.05402,1.31756,0.0,47.0,0.0,29048000
156,100664,202004,속옷,79900,579,2019,1,2,23,20,38,0.05402,1.31756,0.0,47.0,0.0,46224000
157,100664,202004,속옷,79900,392,2019,1,2,23,40,38,0.05402,1.31756,0.0,47.0,0.0,31298000
158,100346,201072,의류,39900,184,2019,1,2,0,0,39,0.05402,1.31756,0.0,50.0,0.0,7329000
159,100346,201079,의류,39900,302,2019,1,2,0,0,39,0.05402,1.31756,0.0,50.0,0.0,12050000
160,100346,201072,의류,39900,263,2019,1,2,0,20,39,0.05402,1.31756,0.0,50.0,0.0,10481000
161,100346,201079,의류,39900,564,2019,1,2,0,20,39,0.05402,1.31756,0.0,50.0,0.0,22520000
162,100613,201894,속옷,59000,223,2019,1,2,1,0,40,0.05402,1.31756,0.0,52.0,0.0,13185000
163,100613,201894,속옷,59000,294,2019,1,2,1,20,40,0.05402,1.31756,0.0,52.0,0.0,17348000
164,100613,201894,속옷,59000,422,2019,1,2,1,40,40,0.05402,1.31756,0.0,52.0,0.0,24910000
165,100781,202292,잡화,39800,62,2019,1,3,6,0,41,0.05297,1.58614,0.0,54.0,0.0,2450000
166,100781,202285,잡화,49800,53,2019,1,3,6,0,41,0.05297,1.58614,0.0,54.0,0.0,2645000
167,100781,202292,잡화,39800,141,2019,1,3,6,20,41,0.05297,1.58614,0.0,54.0,0.0,5609000
168,100781,202285,잡화,49800,78,2019,1,3,6,20,41,0.05297,1.58614,0.0,54.0,0.0,3874000
169,100781,202292,잡화,39800,227,2019,1,3,6,40,41,0.05297,1.58614,0.0,54.0,0.0,9045000
170,100781,202285,잡화,49800,124,2019,1,3,6,40,41,0.05297,1.58614,0.0,54.0,0.0,6162000
171,100582,201788,농수축,39900,515,2019,1,3,7,0,42,0.05297,1.58614,0.0,58.0,0.0,20546000
172,100582,201788,농수축,39900,675,2019,1,3,7,20,42,0.05297,1.58614,0.0,58.0,0.0,26917000
173,100582,201788,농수축,39900,881,2019,1,3,7,40,42,0.05297,1.58614,0.0,58.0,0.0,35153000
174,100774,202261,이미용,79000,173,2019,1,3,8,0,43,0.05297,1.58614,0.0,56.0,0.0,13665000
175,100774,202261,이미용,79000,339,2019,1,3,8,20,43,0.05297,1.58614,0.0,56.0,0.0,26788000
176,100774,202261,이미용,79000,458,2019,1,3,8,40,43,0.05297,1.58614,0.0,56.0,0.0,36208000
177,100600,201840,잡화,39000,449,2019,1,3,9,0,44,0.05297,1.58614,0.0,43.0,0.6,17518000
178,100600,201840,잡화,39000,500,2019,1,3,9,20,44,0.05297,1.58614,0.0,43.0,0.6,19488000
179,100600,201840,잡화,39000,930,2019,1,3,9,40,44,0.05297,1.58614,0.0,43.0,0.6,36253000
180,100305,200970,속옷,109000,301,2019,1,3,10,0,45,0.05297,1.58614,0.0,33.0,1.0,32763000
181,100305,200970,속옷,109000,643,2019,1,3,10,30,45,0.05297,1.58614,0.0,33.0,1.0,70140000
182,100816,202404,의류,79000,212,2019,1,3,11,0,46,0.05297,1.58614,0.0,30.0,1.0,16785000
183,100816,202404,의류,79000,410,2019,1,3,11,20,46,0.05297,1.58614,0.0,30.0,1.0,32391000
184,100816,202404,의류,79000,451,2019,1,3,11,40,46,0.05297,1.58614,0.0,30.0,1.0,35613000
185,100315,201002,건강기능,69000,268,2019,1,3,12,0,47,0.05297,1.58614,0.0,26.0,1.0,18481000
186,100315,201002,건강기능,69000,359,2019,1,3,12,20,47,0.05297,1.58614,0.0,26.0,1.0,24779000
187,100315,201002,건강기능,69000,656,2019,1,3,12,40,47,0.05297,1.58614,0.0,26.0,1.0,45269000
188,100074,200197,이미용,39800,761,2019,1,3,13,0,48,0.05297,1.58614,0.0,22.0,1.0,30273000
189,100074,200197,이미용,39800,1047,2019,1,3,13,20,48,0.05297,1.58614,0.0,22.0,1.0,41669000
190,100074,200197,이미용,39800,1125,2019,1,3,13,40,48,0.05297,1.58614,0.0,22.0,1.0,44782000
191,100255,200868,주방,109800,208,2019,1,3,14,0,49,0.05297,1.58614,0.0,20.0,1.0,22816000
192,100255,200868,주방,109800,437,2019,1,3,14,20,49,0.05297,1.58614,0.0,20.0,1.0,47947000
193,100255,200868,주방,109800,448,2019,1,3,14,40,49,0.05297,1.58614,0.0,20.0,1.0,49139000
194,100837,202455,주방,218000,61,2019,1,3,15,0,50,0.05297,1.58614,0.0,20.0,1.0,13222000
195,100837,202458,주방,208000,46,2019,1,3,15,0,50,0.05297,1.58614,0.0,20.0,1.0,9656000
196,100837,202456,주방,208000,7,2019,1,3,15,0,50,0.05297,1.58614,0.0,20.0,1.0,1530000
197,100837,202457,주방,198000,22,2019,1,3,15,0,50,0.05297,1.58614,0.0,20.0,1.0,4272000
198,100837,202455,주방,218000,146,2019,1,3,15,20,50,0.05297,1.58614,0.0,20.0,1.0,31827000
199,100837,202458,주방,208000,117,2019,1,3,15,20,50,0.05297,1.58614,0.0,20.0,1.0,24436000
200,100837,202456,주방,208000,25,2019,1,3,15,20,50,0.05297,1.58614,0.0,20.0,1.0,5224000
201,100837,202457,주방,198000,32,2019,1,3,15,20,50,0.05297,1.58614,0.0,20.0,1.0,6379000
202,100837,202455,주방,218000,75,2019,1,3,15,40,50,0.05297,1.58614,0.0,20.0,1.0,16324000
203,100837,202458,주방,208000,121,2019,1,3,15,40,50,0.05297,1.58614,0.0,20.0,1.0,25184000
204,100837,202456,주방,208000,32,2019,1,3,15,40,50,0.05297,1.58614,0.0,20.0,1.0,6693000
205,100837,202457,주방,198000,18,2019,1,3,15,40,50,0.05297,1.58614,0.0,20.0,1.0,3576000
206,100832,202444,농수축,59900,444,2019,1,3,16,0,51,0.05297,1.58614,0.0,19.0,1.0,26611000
207,100832,202444,농수축,59900,797,2019,1,3,16,20,51,0.05297,1.58614,0.0,19.0,1.0,47757000
208,100832,202444,농수축,59900,999,2019,1,3,16,40,51,0.05297,1.58614,0.0,19.0,1.0,59853000
209,100496,201497,농수축,60900,268,2019,1,3,17,0,52,0.05297,1.58614,0.0,20.0,1.0,16350000
210,100496,201497,농수축,60900,542,2019,1,3,17,20,52,0.05297,1.58614,0.0,20.0,1.0,33015000
211,100496,201497,농수축,60900,448,2019,1,3,17,40,52,0.05297,1.58614,0.0,20.0,1.0,27284000
212,100702,202074,농수축,40900,733,2019,1,3,18,0,53,0.05297,1.58614,0.0,22.0,0.1,29976000
213,100702,202074,농수축,40900,1265,2019,1,3,18,20,53,0.05297,1.58614,0.0,22.0,0.1,51728000
214,100702,202074,농수축,40900,1643,2019,1,3,18,40,53,0.05297,1.58614,0.0,22.0,0.1,67200000
215,100610,201860,속옷,89000,134,2019,1,3,19,0,54,0.05297,1.58614,0.0,24.0,0.0,11888000
216,100610,201861,속옷,89000,21,2019,1,3,19,0,54,0.05297,1.58614,0.0,24.0,0.0,1879000
217,100610,201865,속옷,89000,38,2019,1,3,19,0,54,0.05297,1.58614,0.0,24.0,0.0,3419000
218,100610,201860,속옷,89000,216,2019,1,3,19,20,54,0.05297,1.58614,0.0,24.0,0.0,19216000
219,100610,201861,속옷,89000,80,2019,1,3,19,20,54,0.05297,1.58614,0.0,24.0,0.0,7147000
220,100610,201865,속옷,89000,25,2019,1,3,19,20,54,0.05297,1.58614,0.0,24.0,0.0,2252000
221,100610,201860,속옷,89000,453,2019,1,3,19,40,54,0.05297,1.58614,0.0,24.0,0.0,40329000
222,100610,201861,속옷,89000,55,2019,1,3,19,40,54,0.05297,1.58614,0.0,24.0,0.0,4871000
223,100610,201865,속옷,89000,50,2019,1,3,19,40,54,0.05297,1.58614,0.0,24.0,0.0,4458000
224,100501,201514,생활용품,189000,218,2019,1,3,20,0,55,0.05297,1.58614,0.0,45.0,0.0,41183000
225,100501,201514,생활용품,189000,444,2019,1,3,20,20,55,0.05297,1.58614,0.0,45.0,0.0,83995000
226,100501,201514,생활용품,189000,568,2019,1,3,20,40,55,0.05297,1.58614,0.0,45.0,0.0,107418000
227,100148,200499,가전,1300000,5,2019,1,3,21,0,56,0.05297,1.58614,0.0,47.0,0.0,6305000
228,100148,200432,가전,1440000,2,2019,1,3,21,0,56,0.05297,1.58614,0.0,47.0,0.0,3517000
229,100148,200441,가전,2130000,10,2019,1,3,21,0,56,0.05297,1.58614,0.0,47.0,0.0,20608000
230,100148,200518,가전,2700000,2,2019,1,3,21,0,56,0.05297,1.58614,0.0,47.0,0.0,6571000
231,100148,200451,가전,2990000,2,2019,1,3,21,0,56,0.05297,1.58614,0.0,47.0,0.0,7299000
232,100148,200499,가전,1300000,7,2019,1,3,21,20,56,0.05297,1.58614,0.0,47.0,0.0,9432000
233,100148,200432,가전,1440000,7,2019,1,3,21,20,56,0.05297,1.58614,0.0,47.0,0.0,10450000
234,100148,200508,가전,1900000,5,2019,1,3,21,20,56,0.05297,1.58614,0.0,47.0,0.0,9214000
235,100148,200518,가전,2700000,2,2019,1,3,21,20,56,0.05297,1.58614,0.0,47.0,0.0,6596000
236,100148,200499,가전,1300000,7,2019,1,3,21,40,56,0.05297,1.58614,0.0,47.0,0.0,9480000
237,100148,200432,가전,1440000,12,2019,1,3,21,40,56,0.05297,1.58614,0.0,47.0,0.0,17456000
238,100148,200508,가전,1900000,19,2019,1,3,21,40,56,0.05297,1.58614,0.0,47.0,0.0,36705000
239,100148,200441,가전,2130000,12,2019,1,3,21,40,56,0.05297,1.58614,0.0,47.0,0.0,25772000
240,100148,200518,가전,2700000,2,2019,1,3,21,40,56,0.05297,1.58614,0.0,47.0,0.0,6571000
241,100718,202108,속옷,89900,201,2019,1,3,22,0,57,0.05297,1.58614,0.0,42.0,0.0,18030000
242,100718,202108,속옷,89900,296,2019,1,3,22,20,57,0.05297,1.58614,0.0,42.0,0.0,26566000
243,100718,202108,속옷,89900,475,2019,1,3,22,40,57,0.05297,1.58614,0.0,42.0,0.0,42666000
244,100377,201225,의류,69900,99,2019,1,3,23,0,58,0.05297,1.58614,0.0,41.0,0.0,6925000
245,100377,201231,의류,69900,215,2019,1,3,23,0,58,0.05297,1.58614,0.0,41.0,0.0,15039000
246,100377,201225,의류,69900,198,2019,1,3,23,20,58,0.05297,1.58614,0.0,41.0,0.0,13850000
247,100377,201231,의류,69900,176,2019,1,3,23,20,58,0.05297,1.58614,0.0,41.0,0.0,12274000
248,100377,201225,의류,69900,271,2019,1,3,23,40,58,0.05297,1.58614,0.0,41.0,0.0,18958000
249,100377,201231,의류,69900,180,2019,1,3,23,40,58,0.05297,1.58614,0.0,41.0,0.0,12616000
